Year,Team,G,P,Opposition,G,P,Diff
1989,Cork,1,3,Dublin,3,7,-10
1989,Cork,3,9,Meath,0,4,14
1989,Cork,2,12,Kerry,1,8,7
1989,Cork,6,15,Westmeath,1,5,25
1989,Cork,4,9,Clare,2,7,8
1989,Cork,1,13,Laois,1,8,5
1989,Cork,1,11,Derry,1,9,2
1988,Cork,3,15,Clare,4,13,-1
1988,Cork,2,6,Kilkenny,4,7,-7
1988,Cork,1,12,Galway,2,9,0
1988,Cork,2,6,Wexford,1,10,-1
1988,Cork,0,8,Tipperary,2,10,-8
1988,Cork,2,2,Limerick,1,10,-5
1988,Cork,0,10,Waterford,3,10,-9
1987,Cork,2,9,Waterford,1,13,-1
1987,Cork,1,7,Clare,1,12,-5
1987,Cork,4,10,Kilkenny,2,7,9
1987,Cork,2,12,Wexford,2,7,5
1987,Cork,4,9,Westmeath,1,8,10
1987,Cork,2,12,Limerick,1,12,3
1987,Cork,4,9,Offaly,1,12,6
1987,Cork,5,8,Galway,2,21,-4
1986,Cork,1,8,Kilkenny,2,15,-10
1986,Cork,3,7,Kilkenny,3,10,-3
1986,Cork,3,4,Dublin,2,6,1
1986,Cork,3,10,Laois,2,10,3
1986,Cork,4,11,Limerick,1,7,13
1986,Cork,2,17,Offaly,1,11,9
1986,Cork,0,10,Galway,0,25,-15
1986,Cork,1,19,Clare,4,5,5
1985,Cork,3,15,Laois,2,4,14
1985,Cork,2,14,Kilkenny,4,5,3
1985,Cork,1,7,Galway,1,10,-3
1985,Cork,0,6,Limerick,1,8,-5
1985,Cork,0,11,Offaly,3,21,-19
1985,Cork,2,6,Wexford,2,17,-11
1985,Cork,4,18,Tipperary,3,8,13
1985,Cork,3,20,Laois,4,11,6
1984,Cork,1,14,Wexford,4,9,-4
1984,Cork,0,13,Kilkenny,0,11,2
1984,Cork,2,7,Galway,2,6,1
1984,Cork,1,14,Waterford,3,9,-1
1984,Cork,2,11,Wexford,1,9,5
1984,Cork,1,13,Clare,0,7,9
1984,Cork,2,10,Limerick,1,11,2
1984,Cork,1,11,Laois,3,7,-2
1983,Cork,1,16,Waterford,3,10,0
1983,Cork,0,11,Kilkenny,3,13,-11
1983,Cork,1,16,Galway,2,11,2
1983,Cork,0,6,Wexford,1,10,-7
1983,Cork,2,14,Tipperary,1,10,7
1983,Cork,3,10,Clare,0,17,2
1983,Cork,0,12,Offaly,3,7,-4
1982,Cork,1,16,Wexford,2,17,-4
1982,Cork,0,16,Tipperary,1,4,9
1982,Cork,0,10,Tipperary,0,8,2
1982,Cork,0,12,Offaly,1,10,-1
1982,Cork,3,14,Clare,0,3,20
1982,Cork,1,14,Galway,0,10,7
1982,Cork,2,5,Waterford,0,12,-1
1982,Cork,4,13,Laois,1,7,15
1981,Cork,3,11,Offaly,2,8,6
1981,Cork,1,19,Waterford,2,10,6
1981,Cork,1,7,Tipperary,1,7,0
1981,Cork,0,10,Offaly,0,7,3
1981,Cork,0,14,Limerick,0,10,4
