Year,Team,G,P,Opposition,G,P,Diff
1990,Mayo,0,9,Monaghan,1,6,0
1990,Mayo,0,6,Wicklow,2,8,-8
1990,Mayo,2,9,Kildare,4,12,-9
1990,Mayo,2,6,Kerry,4,15,-15
1990,Mayo,0,5,Derry,5,16,-26
1990,Mayo,1,8,Armagh,1,8,0
1989,Mayo,4,12,Longford,2,12,6
1989,Mayo,1,7,Roscommon,1,9,-2
1989,Mayo,4,6,Wicklow,4,15,-9
1989,Mayo,2,8,Kildare,1,14,-3
1989,Mayo,2,3,Carlow,4,17,-20
1989,Mayo,1,3,Armagh,3,10,-13
1989,Mayo,1,6,Down,5,12,-18
1988,Mayo,0,5,Derry,2,17,-18
1988,Mayo,1,13,Armagh,2,5,5
1988,Mayo,0,5,Meath,4,16,-23
1988,Mayo,2,3,Wicklow,1,9,-3
1988,Mayo,2,12,Tyrone,1,5,10
1988,Mayo,4,3,Carlow,3,2,4
1988,Mayo,1,5,Kildare,3,14,-15
1987,Mayo,0,2,Tipperary,5,18,-31
1987,Mayo,1,5,Meath,1,15,-10
1987,Mayo,2,5,Antrim,4,11,-12
1987,Mayo,1,3,Waterford,4,18,-24
1987,Mayo,0,4,Laois,3,17,-22
1987,Mayo,4,7,Kerry,1,14,2
1987,Mayo,0,9,Dublin,6,19,-28
1986,Mayo,0,12,Armagh,0,8,4
1986,Mayo,3,7,Waterford,2,6,4
1986,Mayo,3,11,Louth,1,8,9
1986,Mayo,1,7,Wicklow,1,6,1
1986,Mayo,1,11,Carlow,0,8,6
1986,Mayo,2,12,Kildare,2,14,-2
1986,Mayo,2,10,Derry,1,11,2
1985,Mayo,3,14,Longford,1,3,17
1985,Mayo,1,7,Wicklow,3,14,-13
1985,Mayo,2,4,Meath,6,14,-22
1985,Mayo,1,8,Derry,1,15,-7
1985,Mayo,1,14,Longford,2,11,0
1985,Mayo,0,5,Down,5,10,-20
1985,Mayo,2,3,Carlow,9,10,-28
1985,Mayo,2,8,Armagh,3,15,-10
1984,Mayo,1,8,Roscommon,2,16,-11
1984,Mayo,1,2,Meath,1,10,-8
1984,Mayo,1,5,Derry,0,11,-3
1984,Mayo,1,11,Cavan,2,6,2
1984,Mayo,2,3,Down,4,14,-17
1984,Mayo,2,8,Armagh,2,6,2
1983,Mayo,0,15,Kildare,3,13,-7
1983,Mayo,0,10,Down,1,6,1
1983,Mayo,1,6,Roscommon,4,7,-10
1983,Mayo,0,10,Meath,0,9,1
1983,Mayo,2,8,Derry,3,12,-7
1983,Mayo,1,12,Monaghan,3,4,2
1983,Mayo,1,15,Armagh,1,6,9
1982,Mayo,2,10,Down,1,10,3
1982,Mayo,0,4,Wicklow,1,8,-7
1982,Mayo,4,10,Armagh,4,7,3
1982,Mayo,3,6,Meath,3,10,-4
1982,Mayo,1,11,Kildare,1,8,3
1981,Mayo,2,13,Louth,1,7,9
1981,Mayo,4,16,Monaghan,0,7,21
1981,Mayo,2,16,Sligo,3,10,3
1981,Mayo,9,13,Donegal,2,2,32
1981,Mayo,1,12,Leitrim,1,1,11
1980,Mayo,2,13,Monaghan,0,7,12
1980,Mayo,1,18,Louth,5,5,1
1980,Mayo,9,16,Leitrim,1,4,36
1980,Mayo,4,12,Sligo,0,6,18
1980,Mayo,4,18,Donegal,5,7,8
1980,Mayo,6,10,Derry,3,6,13
1979,Mayo,5,17,Leitrim,1,4,25
1979,Mayo,0,0,Leitrim,0,0,0
1979,Mayo,2,12,Sligo,3,2,7
1979,Mayo,0,0,Donegal,0,0,0
1979,Mayo,0,0,Derry,0,0,0
1978,Mayo,2,6,Armagh,5,15,-18
1978,Mayo,2,6,Donegal,2,8,-2
1978,Mayo,1,11,Leitrim,1,5,6
1978,Mayo,5,14,Donegal,1,4,22
1978,Mayo,3,7,Leitrim,3,4,3
1977,Mayo,1,13,Sligo,4,6,-2
1977,Mayo,2,4,Fermanagh,4,12,-14
1976,Mayo,4,9,Louth,6,8,-5
1976,Mayo,6,13,Donegal,1,5,23
1976,Mayo,6,11,Fermanagh,5,4,10
1976,Mayo,5,12,Sligo,1,6,18
1976,Mayo,1,3,Leitrim,1,3,0
1975,Mayo,2,5,Leitrim,1,8,0
1975,Mayo,2,8,Leitrim,3,5,0
1975,Mayo,1,7,Sligo,2,8,-4
1975,Mayo,4,19,Roscommon,2,6,19
1974,Mayo,2,6,Leitrim,10,11,-29
1974,Mayo,2,4,Sligo,3,6,-5
1974,Mayo,2,4,Roscommon,2,15,-11
1973,Mayo,2,18,Roscommon,4,6,6
1973,Mayo,0,0,Leitrim,0,0,0
1973,Mayo,3,6,Sligo,4,6,-3
1972,Mayo,0,4,Roscommon,7,9,-26
1972,Mayo,4,4,Sligo,3,8,-1
1971,Mayo,3,11,Sligo,6,4,-2
1971,Mayo,3,5,Leitrim,8,4,-14
1971,Mayo,0,0,Sligo,0,0,0
1970,Mayo,3,7,Roscommon,3,8,-1
1970,Mayo,2,3,Westmeath,9,16,-34
1969,Mayo,5,5,Roscommon,4,8,0
1969,Mayo,2,5,Westmeath,6,10,-17
1969,Mayo,1,8,Westmeath,0,13,-2
1969,Mayo,2,6,Roscommon,4,9,-9
1968,Mayo,4,6,Roscommon,4,6,0
1968,Mayo,1,7,Roscommon,1,3,4
1967,Mayo,2,4,Louth,3,5,-4
1967,Mayo,7,3,Donegal,3,10,5
1967,Mayo,2,9,Leitrim,2,10,-1
1967,Mayo,8,15,Sligo,4,6,21
1966,Mayo,1,12,Armagh,1,8,4
1966,Mayo,8,6,Sligo,1,0,27
1966,Mayo,5,7,Leitrim,4,8,2
