Year,Team,G,P,Opposition,G,P,Diff
1988,Kerry,2,10,Down,1,13,0
1987,Kerry,1,11,Laois,1,8,3
1987,Kerry,1,12,Dublin,2,18,-9
1987,Kerry,1,9,Waterford,1,12,-3
1987,Kerry,0,10,Antrim,1,9,-2
1987,Kerry,0,5,Tipperary,3,15,-19
1987,Kerry,1,14,Mayo,4,7,-2
1987,Kerry,2,5,Meath,2,3,2
1986,Kerry,1,5,Wexford,3,15,-16
1986,Kerry,1,7,Antrim,5,13,-18
1986,Kerry,3,5,Down,2,3,5
1986,Kerry,2,8,Tipperary,3,21,-16
1986,Kerry,6,4,Roscommon,2,11,5
1986,Kerry,2,6,Meath,0,10,2
1986,Kerry,0,8,Westmeath,1,11,-6
1985,Kerry,2,12,Antrim,3,7,2
1985,Kerry,3,6,Waterford,2,8,1
1985,Kerry,2,2,Clare,6,14,-24
1985,Kerry,2,5,Roscommon,4,9,-10
1985,Kerry,0,13,Dublin,2,7,0
1985,Kerry,0,7,Westmeath,1,8,-4
1985,Kerry,4,5,Kildare,3,8,0
1984,Kerry,1,8,Antrim,0,6,5
1984,Kerry,1,8,Offaly,1,12,-4
1984,Kerry,2,7,Tipperary,1,13,-3
1984,Kerry,1,16,Wicklow,1,8,8
1984,Kerry,1,8,Dublin,0,9,2
1984,Kerry,3,5,Westmeath,2,8,0
1984,Kerry,0,11,Kildare,3,14,-12
1983,Kerry,2,5,Antrim,2,7,-2
1983,Kerry,1,6,Limerick,3,16,-16
1983,Kerry,0,12,Laois,4,6,-6
1983,Kerry,2,6,Wicklow,0,3,9
1983,Kerry,2,10,Dublin,1,6,7
1983,Kerry,3,12,Westmeath,1,6,12
1983,Kerry,7,16,Carlow,0,3,34
1982,Kerry,0,0,Carlow,0,0,0
1982,Kerry,2,6,Wexford,1,14,-5
1982,Kerry,3,7,Carlow,1,4,9
1982,Kerry,0,9,Limerick,1,10,-4
1982,Kerry,1,5,Antrim,4,11,-15
1982,Kerry,1,8,Dublin,2,11,-6
1982,Kerry,0,11,Westmeath,1,10,-2
1982,Kerry,1,9,Kilkenny,1,19,-10
1981,Kerry,0,6,Westmeath,1,6,-3
1981,Kerry,2,8,Clare,0,16,-2
1981,Kerry,0,11,Kilkenny,0,11,0
1981,Kerry,4,3,Laois,1,15,-3
1981,Kerry,1,7,Dublin,4,13,-15
1981,Kerry,1,9,Antrim,2,12,-6
1980,Kerry,1,7,Waterford,0,16,-6
1980,Kerry,1,3,Antrim,0,9,-3
1980,Kerry,0,5,Dublin,0,20,-15
1980,Kerry,1,6,Kildare,1,5,1
1980,Kerry,2,4,Laois,4,5,-7
1980,Kerry,0,2,Wexford,2,7,-11
1979,Kerry,3,7,Meath,3,4,3
1979,Kerry,1,6,Wicklow,1,4,2
1979,Kerry,2,12,Roscommon,1,5,10
1979,Kerry,2,3,Down,1,5,1
1979,Kerry,0,4,Westmeath,2,7,-9
1978,Kerry,1,7,Carlow,1,15,-8
1978,Kerry,0,0,Carlow,0,0,0
1978,Kerry,3,4,Roscommon,2,4,3
1978,Kerry,5,14,Wicklow,1,4,22
1978,Kerry,2,11,Meath,1,6,8
1978,Kerry,0,16,Down,1,7,6
1977,Kerry,6,8,Carlow,0,9,17
1977,Kerry,1,11,Roscommon,1,3,8
1977,Kerry,2,12,Meath,2,11,1
1977,Kerry,3,6,Down,1,6,6
1977,Kerry,2,8,Westmeath,3,13,-8
1976,Kerry,4,8,Carlow,4,7,1
1976,Kerry,0,7,Meath,2,6,-5
1976,Kerry,0,2,Down,5,12,-25
1976,Kerry,3,7,Wicklow,1,6,7
1976,Kerry,5,8,Roscommon,1,7,13
1975,Kerry,3,9,Carlow,1,3,12
1975,Kerry,1,11,Meath,3,4,1
1975,Kerry,1,10,Down,2,5,2
1975,Kerry,3,3,Westmeath,4,9,-9
1974,Kerry,2,2,Antrim,5,13,-20
1974,Kerry,2,4,Wicklow,3,7,-6
1974,Kerry,0,9,Laois,2,9,-6
1974,Kerry,2,9,Offaly,2,11,-2
1974,Kerry,2,7,Dublin,2,18,-11
1974,Kerry,1,5,Westmeath,1,14,-9
1973,Kerry,1,8,Antrim,4,10,-11
1973,Kerry,1,6,Wicklow,2,4,-1
1973,Kerry,3,4,Dublin,5,13,-15
1973,Kerry,2,5,Kildare,3,6,-4
1973,Kerry,2,6,Laois,6,4,-10
1973,Kerry,1,5,Waterford,2,11,-9
1973,Kerry,6,10,Westmeath,4,10,6
1972,Kerry,3,12,Antrim,3,9,3
1972,Kerry,2,11,Wicklow,2,7,4
1972,Kerry,2,8,Kildare,5,10,-11
1972,Kerry,0,9,Laois,5,7,-13
1972,Kerry,2,8,Waterford,4,14,-12
1972,Kerry,3,11,Galway,4,16,-8
1972,Kerry,5,6,Westmeath,2,6,9
1971,Kerry,3,4,Kildare,5,12,-14
1971,Kerry,0,7,Laois,4,17,-22
1971,Kerry,1,2,Waterford,4,17,-24
1971,Kerry,4,2,Clare,5,13,-14
1971,Kerry,5,5,Westmeath,1,10,7
1970,Kerry,5,2,Wicklow,2,4,7
1970,Kerry,1,4,Carlow,2,5,-4
1970,Kerry,5,5,Kildare,5,9,-4
1969,Kerry,5,7,Westmeath,4,13,-3
1968,Kerry,2,11,Antrim,1,9,5
1968,Kerry,4,11,Wicklow,4,9,2
1967,Kerry,4,8,Meath,3,8,3
1967,Kerry,8,6,Antrim,1,7,20
1967,Kerry,3,5,Kildare,4,7,-5
1967,Kerry,6,4,Wicklow,2,8,8
1967,Kerry,4,12,Carlow,4,8,4
1966,Kerry,3,9,Offaly,4,11,-5
1966,Kerry,5,9,Antrim,2,2,16
1966,Kerry,3,5,Kildare,2,5,3
1966,Kerry,2,4,Wicklow,1,6,1
1966,Kerry,4,7,Carlow,2,9,4
1966,Kerry,3,9,Offaly,7,12,-15
1965,Kerry,3,4,Laois,3,14,-10
1965,Kerry,8,11,Westmeath,5,16,4
1965,Kerry,2,5,Westmeath,2,5,0
1965,Kerry,2,6,Wicklow,1,3,6
1965,Kerry,3,5,Laois,9,6,-19
1965,Kerry,4,8,Kildare,3,4,7
1965,Kerry,6,10,Offaly,6,10,0
1964,Kerry,0,0,Wicklow,0,0,0
1964,Kerry,7,10,Kildare,1,7,21
1964,Kerry,2,6,Offaly,4,10,-10
1964,Kerry,3,5,Laois,5,7,-8
1963,Kerry,2,4,Meath,3,7,-6
1963,Kerry,3,5,Kildare,2,6,2
1962,Kerry,3,8,Meath,1,2,12
1962,Kerry,4,8,Roscommon,1,1,16
1962,Kerry,0,0,Roscommon,0,0,0
1962,Kerry,4,5,Kildare,1,0,14
1961,Kerry,0,2,Tipperary,10,10,-38
1961,Kerry,1,2,Carlow,3,14,-18
1961,Kerry,1,3,Limerick,8,5,-23
1961,Kerry,2,3,Clare,8,11,-26
1960,Kerry,3,4,Carlow,2,4,3
1959,Kerry,1,3,Tipperary,1,16,-13
1959,Kerry,1,0,Clare,3,10,-16
1959,Kerry,1,4,Galway,2,8,-7
1958,Kerry,2,3,Tipperary,15,14,-50
1958,Kerry,0,3,Limerick,7,7,-25
1958,Kerry,3,1,Galway,4,6,-8
1958,Kerry,4,2,Clare,6,8,-12
1957,Kerry,4,13,Meath,3,6,10
1957,Kerry,6,1,Meath,4,7,0
1957,Kerry,3,5,Offaly,2,6,2
1957,Kerry,4,4,Laois,2,1,9
1957,Kerry,3,6,Limerick,1,3,9
1956,Kerry,5,4,Antrim,4,14,-7
1956,Kerry,1,10,Antrim,2,7,0
1956,Kerry,2,11,Offaly,3,5,3
1956,Kerry,7,10,Roscommon,2,1,24
1956,Kerry,4,7,Laois,5,3,1
1953,Kerry,3,5,Offaly,4,6,-4
1952,Kerry,3,6,Westmeath,6,11,-14
1952,Kerry,6,6,Kildare,2,7,11
1934,Kerry,5,1,Cork,4,2,2
1929,Kerry,2,1,Waterford,7,4,-18
1929,Kerry,5,6,Clare,2,5,10
1929,Kerry,3,0,Cork,14,6,-39
1929,Kerry,3,2,Galway,3,4,-2
1929,Kerry,0,1,Tipperary,11,4,-36
1926,Kerry,3,1,Clare,5,3,-8
1926,Kerry,3,2,Offaly,5,1,-5
1926,Kerry,8,5,Waterford,3,4,16
